n_agents,n_waters,layout,arch_label,architecture,broadcast_every_k,hazard_density,n_seeds,success_rate_mean,success_rate_std,mean_t_succ_mean,mean_t_succ_std,p95_t_succ_mean,total_trail_mean,n_hazard_hits_mean,scarcity
3,2,symmetric,peer(K=4),peer,4,0.1,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,13.15,1.5
3,2,symmetric,peer(K=8),peer,8,0.0,20,0.6666666666666666,0.0,6.0,0.0,6.0,90.0,0.0,1.5
3,2,symmetric,peer(K=8),peer,8,0.05,20,0.6666666666666666,0.0,6.0,0.0,6.0,90.0,6.9,1.5
3,2,symmetric,peer(K=8),peer,8,0.1,20,0.6666666666666666,0.0,6.0,0.0,6.0,90.0,12.4,1.5
3,2,symmetric,shared,shared,-1,0.0,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,0.0,1.5
3,2,symmetric,shared,shared,-1,0.05,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,6.4,1.5
3,2,symmetric,shared,shared,-1,0.1,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,13.15,1.5
3,3,asymmetric,centralized,centralized,-1,0.0,20,1.0,0.0,16.666666666666668,0.0,41.0,35.0,0.0,1.0
3,3,asymmetric,centralized,centralized,-1,0.05,20,1.0,0.0,16.666666666666668,0.0,41.0,35.0,3.35,1.0
3,3,asymmetric,centralized,centralized,-1,0.1,20,1.0,0.0,16.666666666666668,0.0,41.0,35.0,4.4,1.0
3,3,asymmetric,independent,independent,-1,0.0,20,1.0,0.0,10.666666666666666,0.0,23.0,28.0,0.0,1.0
3,3,asymmetric,independent,independent,-1,0.05,20,1.0,0.0,10.666666666666666,0.0,23.0,28.0,1.15,1.0
3,3,asymmetric,independent,independent,-1,0.1,20,1.0,0.0,10.666666666666666,0.0,23.0,28.0,2.7,1.0
3,3,asymmetric,peer(K=1),peer,1,0.0,20,1.0,0.0,16.666666666666668,0.0,41.0,40.0,0.0,1.0
3,3,asymmetric,peer(K=1),peer,1,0.05,20,1.0,0.0,16.666666666666668,0.0,41.0,40.0,2.4,1.0
3,3,asymmetric,peer(K=1),peer,1,0.1,20,1.0,0.0,16.666666666666668,0.0,41.0,40.0,4.25,1.0
3,3,asymmetric,peer(K=16),peer,16,0.0,20,1.0,0.0,10.666666666666666,0.0,23.0,28.0,0.0,1.0
3,3,asymmetric,peer(K=16),peer,16,0.05,20,1.0,0.0,10.666666666666666,0.0,23.0,28.0,1.15,1.0
3,3,asymmetric,peer(K=16),peer,16,0.1,20,1.0,0.0,10.666666666666666,0.0,23.0,28.0,2.7,1.0
3,3,asymmetric,peer(K=2),peer,2,0.0,20,1.0,0.0,16.666666666666668,0.0,41.0,40.0,0.0,1.0
3,3,asymmetric,peer(K=2),peer,2,0.05,20,1.0,0.0,16.666666666666668,0.0,41.0,40.0,2.4,1.0
3,3,asymmetric,peer(K=2),peer,2,0.1,20,1.0,0.0,16.666666666666668,0.0,41.0,40.0,4.25,1.0
3,3,asymmetric,peer(K=4),peer,4,0.0,20,1.0,0.0,22.666666666666668,0.0,59.0,52.0,0.0,1.0
3,3,asymmetric,peer(K=4),peer,4,0.05,20,1.0,0.0,22.666666666666668,0.0,59.0,52.0,4.05,1.0
3,3,asymmetric,peer(K=4),peer,4,0.1,20,1.0,0.0,22.666666666666668,0.0,59.0,52.0,7.2,1.0
3,3,asymmetric,peer(K=8),peer,8,0.0,20,1.0,0.0,10.666666666666666,0.0,23.0,28.0,0.0,1.0
3,3,asymmetric,peer(K=8),peer,8,0.05,20,1.0,0.0,10.666666666666666,0.0,23.0,28.0,1.15,1.0
3,3,asymmetric,peer(K=8),peer,8,0.1,20,1.0,0.0,10.666666666666666,0.0,23.0,28.0,2.7,1.0
3,3,asymmetric,shared,shared,-1,0.0,20,1.0,0.0,16.666666666666668,0.0,41.0,40.0,0.0,1.0
3,3,asymmetric,shared,shared,-1,0.05,20,1.0,0.0,16.666666666666668,0.0,41.0,40.0,2.4,1.0
3,3,asymmetric,shared,shared,-1,0.1,20,1.0,0.0,16.666666666666668,0.0,41.0,40.0,4.25,1.0
3,3,random,centralized,centralized,-1,0.0,20,0.7333333333333333,0.29814239699997197,13.236842105263158,9.62976926724368,24.63157894736842,44.5,0.0,1.0
3,3,random,centralized,centralized,-1,0.05,20,0.7333333333333333,0.29814239699997197,13.236842105263158,9.62976926724368,24.63157894736842,44.5,18.35,1.0
3,3,random,centralized,centralized,-1,0.1,20,0.7333333333333333,0.29814239699997197,13.236842105263158,9.62976926724368,24.63157894736842,44.5,20.15,1.0
3,3,random,independent,independent,-1,0.0,20,0.7333333333333333,0.2778362511554969,13.308333333333334,9.57018930804469,26.2,52.7,0.0,1.0
3,3,random,independent,independent,-1,0.05,20,0.7333333333333333,0.2778362511554969,13.308333333333334,9.57018930804469,26.2,52.7,7.1,1.0
3,3,random,independent,independent,-1,0.1,20,0.7333333333333333,0.2778362511554969,13.308333333333334,9.570189308044688,26.2,52.7,16.75,1.0
3,3,random,peer(K=1),peer,1,0.0,20,0.7666666666666666,0.2671049030620106,15.18421052631579,9.472978910284656,28.842105263157894,50.45,0.0,1.0
3,3,random,peer(K=1),peer,1,0.05,20,0.7666666666666666,0.2671049030620106,15.18421052631579,9.472978910284656,28.842105263157894,50.45,17.7,1.0
3,3,random,peer(K=1),peer,1,0.1,20,0.7666666666666667,0.2671049030620106,15.18421052631579,9.472978910284656,28.842105263157894,50.45,15.8,1.0
3,3,random,peer(K=16),peer,16,0.0,20,0.6833333333333333,0.29568040277433905,12.482456140350877,8.259654795203758,23.473684210526315,52.85,0.0,1.0
3,3,random,peer(K=16),peer,16,0.05,20,0.6833333333333333,0.29568040277433905,12.482456140350877,8.259654795203758,23.473684210526315,52.85,12.15,1.0
3,3,random,peer(K=16),peer,16,0.1,20,0.6833333333333333,0.29568040277433905,12.482456140350877,8.259654795203758,23.473684210526315,52.85,11.25,1.0
